ay,portfoy,hisse_kodu
Oca.25,ALFA,AVPGY
Oca.25,ALFA,ISGSY
Oca.25,ALFA,ARASE
Oca.25,ALFA,ATLAS
Oca.25,ALFA,GLRYH
Oca.25,BETA,A1CAP
Oca.25,BETA,BINHO
Oca.25,BETA,AVPGY
Oca.25,BETA,KTLEV
Oca.25,BETA,OFSYM
Şub.25,ALFA,ATLAS
Şub.25,ALFA,AVPGY
Şub.25,ALFA,ARASE
Şub.25,ALFA,ISGSY
Şub.25,ALFA,GOLTS
Şub.25,BETA,A1CAP
Şub.25,BETA,BINHO
Şub.25,BETA,AVPGY
Şub.25,BETA,KTLEV
Şub.25,BETA,OFSYM
Mar.25,ALFA,BUCIM
Mar.25,ALFA,ARASE
Mar.25,ALFA,GLRYH
Mar.25,ALFA,ISGSY
Mar.25,ALFA,GOLTS
Mar.25,BETA,A1CAP
Mar.25,BETA,BINHO
Mar.25,BETA,BULGS
Mar.25,BETA,KTLEV
Mar.25,BETA,OFSYM
Nis.25,ALFA,KZBGY
Nis.25,ALFA,AVPGU
Nis.25,ALFA,BULGS
Nis.25,ALFA,ISGSY
Nis.25,ALFA,KTLEV
Nis.25,BETA,A1CAP
Nis.25,BETA,EBEBK
Nis.25,BETA,BULGS
Nis.25,BETA,KTLEV
Nis.25,BETA,AVPGY
May.25,ALFA,KZBGY
May.25,ALFA,ARTMS
May.25,ALFA,BORSK
May.25,ALFA,ISGSY
May.25,ALFA,KTLEV
May.25,BETA,A1CAP
May.25,BETA,EBEBK
May.25,BETA,ALVES
May.25,BETA,KTLEV
May.25,BETA,BIGCH
Haz.25,ALFA,KZBGY
Haz.25,ALFA,ARTMS
Haz.25,ALFA,A1CAP
Haz.25,ALFA,ISGSY
Haz.25,ALFA,KTLEV
Haz.25,BETA,ODINE
Haz.25,BETA,EBEBK
Haz.25,BETA,FORTE
Haz.25,BETA,KTLEV
Haz.25,BETA,ALTNY
Tem.25,ALFA,KZBGY
Tem.25,ALFA,ARTMS
Tem.25,ALFA,BANVT
Tem.25,ALFA,ISGSY
Tem.25,ALFA,KTLEV
Tem.25,BETA,ODINE
Tem.25,BETA,EBEBK
Tem.25,BETA,EFORC
Tem.25,BETA,DSTKF
Tem.25,BETA,ALTNY
Ağu.25,ALFA,KZBGY
Ağu.25,ALFA,ARTMS
Ağu.25,ALFA,A1CAP
Ağu.25,ALFA,ISGSY
Ağu.25,ALFA,KTLEV
Ağu.25,BETA,ODINE
Ağu.25,BETA,EBEBK
Ağu.25,BETA,EFORC
Ağu.25,BETA,DSTKF
Ağu.25,BETA,ALTNY
Eyl.25,ALFA,INVEO
Eyl.25,ALFA,ARTMS
Eyl.25,ALFA,ATATP
Eyl.25,ALFA,ISGSY
Eyl.25,ALFA,KTLEV
Eyl.25,BETA,BALSU
Eyl.25,BETA,EBEBK
Eyl.25,BETA,EFORC
Eyl.25,BETA,DSTKF
Eyl.25,BETA,ALVES
Eki.25,ALFA,INVEO
Eki.25,ALFA,ARTMS
Eki.25,ALFA,ORGE
Eki.25,ALFA,ISGSY
Eki.25,ALFA,KTLEV
Eki.25,BETA,BALSU
Eki.25,BETA,DOFRB
Eki.25,BETA,EFORC
Eki.25,BETA,ALVES
Kas.25,ALFA,INVEO
Kas.25,ALFA,LKMDC
Kas.25,ALFA,ORGE
Kas.25,ALFA,ISGSY
Kas.25,ALFA,KTLEV
Kas.25,BETA,ISFIN
Kas.25,BETA,ATATP
Kas.25,BETA,TKNSA
Kas.25,BETA,NTGAZ
Kas.25,BETA,ALVES
Ara.25,ALFA,INVEO
Ara.25,ALFA,SANEL
Ara.25,ALFA,KRSTL
Ara.25,ALFA,ISGSY
Ara.25,ALFA,KTLEV
Ara.25,BETA,ISFIN
Ara.25,BETA,TKNSA
Ara.25,BETA,ATATP
Ara.25,BETA,BIZIM
Ara.25,BETA,ALVES
Oca.26,ALFA,INVEO
Oca.26,ALFA,ATATP
Oca.26,ALFA,KRSTL
Oca.26,ALFA,ISGSY
Oca.26,ALFA,KTLEV
Oca.26,BETA,ISFIN
Oca.26,BETA,TKNSA
Oca.26,BETA,ATATP
Oca.26,BETA,BIZIM
Oca.26,BETA,ALVES
Oca.26,DELTA,EKGYO
Oca.26,DELTA,ENKA
Oca.26,DELTA,KTLEV
Oca.26,DELTA,GUBRF
Şub.26,ALFA,INVEO
Şub.26,ALFA,SANEL
Şub.26,ALFA,KRSTL
Şub.26,ALFA,ISGSY
Şub.26,ALFA,MACKO
Şub.26,BETA,NTGAZ
Şub.26,BETA,TKNSA
Şub.26,BETA,ATATP
Şub.26,BETA,BIZIM
Şub.26,BETA,ALVES
Şub.26,DELTA,EKGYO
Şub.26,DELTA,GUBRF
Şub.26,DELTA,KTLEV
Şub.26,DELTA,IZENR
