Market,Ticker,Price,SMA_150,SMA_200,RS,VCP_Contractions,VCP_Pattern,Pivot,Distance_to_Pivot_%,Volume_Dryup,Status,Stop_Level,Volume_Spike_Ratio,RS_Divergence_%
BIST,SKBNK,12.49,8.76,8.28,,0,NO_VCP,12.5,0.08,,PIVOT_NEAR,11.62,1.7,43.26
BIST,BARMA,56.2,33.97,30.25,,0,NO_VCP,56.25,0.09,,PIVOT_NEAR,52.27,1.32,44.57
BIST,RGYAS,179.0,151.45,147.87,,0,NO_VCP,179.3,0.17,,PIVOT_NEAR,166.47,1.18,6.08
BIST,DOHOL,21.48,18.88,18.4,,0,NO_VCP,21.52,0.19,,PIVOT_NEAR,19.98,0.91,-2.36
BIST,ALBRK,9.21,8.12,8.19,,0,NO_VCP,9.23,0.22,,PIVOT_NEAR,8.57,2.63,-1.15
BIST,KLMSN,36.8,32.75,31.99,,0,NO_VCP,36.88,0.22,,PIVOT_NEAR,34.22,5.1,14.66
BIST,EBEBK,72.8,58.77,56.96,,5,FORMING,73.05,0.34,,PIVOT_NEAR,67.7,0.53,11.68
BIST,PINSU,12.97,12.03,11.45,,0,NO_VCP,13.02,0.38,,PIVOT_NEAR,12.06,2.37,0.72
BIST,ASUZU,71.2,60.07,60.59,,0,NO_VCP,71.5,0.42,,PIVOT_NEAR,66.22,1.25,4.95
BIST,GLBMD,12.84,12.67,12.75,,4,FORMING,12.9,0.47,,PIVOT_NEAR,11.94,1.29,-14.38
BIST,GESAN,51.15,47.35,47.52,,0,NO_VCP,51.45,0.58,,PIVOT_NEAR,47.57,1.42,-14.33
BIST,AKSEN,82.95,61.17,55.51,,3,FORMING,83.45,0.6,,PIVOT_NEAR,77.14,0.98,9.42
BIST,MGROS,659.5,555.53,540.22,,5,FORMING,663.5,0.6,,PIVOT_NEAR,613.34,0.94,-7.13
BIST,UNLU,119.3,115.73,114.75,,4,FORMING,120.1,0.67,,PIVOT_NEAR,110.95,0.73,-18.59
BIST,EREGL,32.0,27.22,27.33,,0,NO_VCP,32.22,0.68,,PIVOT_NEAR,29.76,1.6,11.54
